Project,Class,Pattern Predicted
ocl,OCLinEcoreCSTFactory,AbstractFactory
CS230-Software-Project,Observable,Observer
pcgen-svn,DescriptionFacadeImpl,Facade
rap,MementoStateManager,Memento
wayback,ParseEventDelegatorVisitor,Visitor
pcgen-svn,EquipmentListFacadeImpl,Facade
harmony-classlib,Proxy,Proxy
jbehave-core,PriorityMatchingSteps,
jbehave-core,ParametrisationByDelimitedNameSteps,
Promasi-V2,CompanyMemento,Memento
cdt,AsmModelBuilder,Builder
pcgen-svn,DefaultListFacade,Facade
molgenis_apps,NameableDecorator,Decorator
osate2-core,MemoryPrototypeImpl,Prototype
fest-reflect,PreDecorator,Decorator
TurtlePlayer,PreferencesObserver,Observer
coala,PdqRouteBuilder,Builder
spring-stringtemplate,StringTemplateDecoratorServlet,Decorator
arquillian_deprecated,ObserverImpl,Observer
platform,DeploymentSyncAxis2ConfigurationContextObserver,Observer
basiclti-portlet,WimbaAdapter,Adapter
eclipse.platform.debug,MemoryViewElementMementoProvider,Memento
osate2-core,ComponentPrototypeActualImpl,Prototype
fafdtibb,LimitModeTreeBuilderFactory,AbstractFactory
ChenSun,MysqlXAConnection,
modapi,Prototype,Prototype
activemq,SingletonBrokerFacade,Singleton
harmony-classlib,BeanContextContainerProxy,Proxy
jbehave-core,CompositeSteps,
cxf,AbstractFaultChainInitiatorObserver,Observer
molgenis_apps,TaskDecorator,Decorator
cdt,ICPPASTVisitor,Visitor
osate2-core,VirtualBusPrototypeImpl,Prototype
pcgen-svn,TermEvaluatorBuilderEQVar,Builder
Lord-of-Ultima-Manager,TradeAdapter,Adapter
refactoring_guru,HtmlDialog,FactoryMethod
de-webapp,AbstractContextBuilder,Builder
zk,IDOMFactory,AbstractFactory
jabylon,UsersFactoryImpl,AbstractFactory
activemq,BrokerFacadeSupport,Facade
pellet,EntailmentQueryVisitor,Visitor
XobotOS,Singleton,Singleton
soapui,RestMethodPanelBuilder,Builder
cdt,LocationAdapter,Adapter
biomixer,ResourceSetAvatarFactory,FactoryMethod
cxf,MessageReplayObserver,Observer
milton,HrResourceFactory,FactoryMethod
frostwire-desktop,MouseObserver,Observer
refactoring_guru,MacOSFactory,AbstractFactory
DimSim,RTMPCodecFactory,AbstractFactory
molgenis_apps,BiobankDecorator,Decorator
AllBinary-Platform,InputAutomationModuleConfigurationsSingletonFactory,AbstractFactory
wayback,ReplayRendererDecoratorFactory,FactoryMethod
LimeWire-Pirate-Edition,InNetworkDownloadMemento,Memento
harmony-classlib,ProxySelectorImpl,Proxy
faban,AboveTimedSSLSocketFactory,FactoryMethod
wolips,EOPrototypeListLabelProvider,Prototype
openejb,SingletonInstanceManager,Singleton
jbehave-core,StepFailureDecoratorBehaviour,Decorator
ChenSun,Clob,
LimeWire-Pirate-Edition,MagnetDownloadMementoImpl,Memento
magic-config,TagDecorator,Decorator
directory-server,AvlTreeSingleton,Singleton
Alice,ResponsePrototype,Prototype
jbehave-core,GroovyStepsFactory,AbstractFactory
BuildCraft,SiliconProxyClient,Proxy
pcgen-svn,SortedListFacade,Facade
jamendo-android,RadioBuilder,Builder
petals-studio,JbiFactoryImpl,AbstractFactory
java-design-patterns-master,FishingBoatAdapter,Adapter
flume_1,InsistentOpenDecorator,Decorator
jbehave-core,PicoStepsFactory,AbstractFactory
pcgen-svn,CharacterFacadeImpl,Facade
swp1-teamhub,AufgabeFacade,Facade
javassist,ProxyObject,Proxy
LimeWire-Pirate-Edition,GnutellaDownloadMementoImpl,Memento
swp1-teamhub,BenutzerFacade,Facade
jbehave-core,MetaParametrisationSteps,
Cours-3eme-ann-e,AeroportFacadeREST,Facade
platform,BAMMediationStatisticsObserver,Observer
geotoolkit-pending,SingletonIterator,Singleton
abdera,Singleton,Singleton
AllBinary-Platform,LicenseInterfaceSingleton,Singleton
DimSim,EventsJsonProxy,Proxy
jackrabbit,SingletonRepositoryFactory,Singleton
pizzaapp,ConfigurationSingleton,Singleton
pcgen-svn,QualifiedDecorator,Decorator
jbehave-core,PicoAnnotationBuilderBehaviour,Builder
harmony-classlib,ProxySelector,Proxy
Dual-Battery-Widget,BillingObserver,Observer
TapIt-Android-SDK-Source,AlertAdProxyPrototype,Prototype
intellij-community,NewInstanceOfSingletonInspection,Singleton
cdt,DeferredCWorkbenchAdapter,Adapter
osate2-core,SystemPrototypeImpl,Prototype
teiid-designer,MappingLabelDecorator,Decorator
magic-config,DecoratorFactory,FactoryMethod
cxf,TemplateTypeSpecVisitor,Visitor
pcgen-svn,EquipmentSetFacadeImpl,Facade
cdt,CModelBuilder2,Builder
cxf,ScopedNameVisitor,Visitor
jbehave-core,FailingAfterStories,
ChenSun,LoadBalancingConnectionProxy,Proxy
magic-config,DecoratorFactoryImpl,FactoryMethod
pcgen-svn,SourceSelectionFacade,Facade
spring-migration-analyzer,DelegatingMethodVisitor,Visitor
cruisecontrol,PhingBuilder,Builder
bio_quiz,PlayerFacade,Facade
helma,Prototype,Prototype
ChenSun,ExtendedMysqlExceptionSorter,
ecf,ServiceResourceFactory,FactoryMethod
java-design-patterns,Prototype,Prototype
jackrabbit,AccessControlObserver,Observer
platform,PDPProxy,Proxy
AxonFramework,SpringPrototypeAggregateFactory,AbstractFactory
pcgen-svn,TodoFacade,Facade
BuildCraft,BuildersProxy,Proxy
clusterbench,LocalSingletonEjbServlet,Singleton
cdt,CElementDecorator,Decorator
cdo,CDOLazyContentAdapter,Adapter
com.happyprog.tdgotchi,RefactoringObserver,Observer
sherlog,SimpleLogEventFilterMemento,Memento
cdt,AutotoolsConfigurationBuilder,Builder
protoj,Prototype,Prototype
eclipse.platform.ui,IMementoAware,Memento
biomixer,SvgElementFactory,FactoryMethod
intellij-community,CachedSingletonsRegistry,Singleton
jbehave-core,InjectableStepsFactory,AbstractFactory
infinitest,ProjectFacade,Facade
A7B36ASS,AbstractFactory,AbstractFactory
refactoring_guru,WindowsFactory,AbstractFactory
DimSim,ObjectProxy,Proxy
ChenSun,ExportControlled,
cdk,NormalizedStringAdapter,Adapter
cxf,ArrayVisitor,Visitor
tomcat70,ResourceFactory,FactoryMethod
biomixer,TextSvgElementFactory,FactoryMethod
Promasi-V2,EmployeeMemento,Memento
AllBinary-Platform,NullHighScoresSingletonFactory,AbstractFactory
ChenSun,IterateBlock,
nuxeo-tycho-osgi,XMLMemento,Memento
JavaDesignPatternExercises,IMemento,Memento
cdt,BuildConsoleStreamDecorator,Decorator
jbehave-core,AuthenticationSteps,
pellet,NumericVisitor,Visitor
harmony-classlib,Proxy,Proxy
osate2-core,ComponentPrototypeImpl,Prototype
flume_1,SelectDecorator,Decorator
jbehave-core,ThreadsStories,
ant,RmicAdapter,Adapter
swing-mvc-demo,UserModelObserver,Observer
LimeWire-Pirate-Edition,AbstractLazySingletonProvider,Singleton
eclipse.platform.debug,DebugElementMementoProvider,Memento
ant,TimeoutObserver,Observer
osate2-core,VirtualProcessorPrototypeImpl,Prototype
jbehave-core,AbstractSteps,
platform,Axis2ConfigurationContextObserverImpl,Observer
eclipse.platform.debug,XMLMemento,Memento
platform_frameworks_base,Singleton,Singleton
cdt,CDTViewerDropAdapter,Adapter
soapui,ResponseInspectorFactory,FactoryMethod
MPS,Memento,Memento
james,MimeMessageCopyOnWriteProxy,Proxy
mongkie,DecoratorItem,Decorator
molgenis_apps,MolgenisFileDecorator,Decorator
playorm,IterLogProxy,Proxy
jbehave-core,OrganizationSteps,
freemind,ReducedAttributeTableModelDecorator,Decorator
3taps-Java-Client,Category,
java-design-patterns-master,KingdomFactory,AbstractFactory
sslr,ExecutionFlowVisitor,Visitor
spring-batch,ItemReaderAdapter,Adapter
UK-Ejemplos,Observer,Observer
jbehave-core,UserBuilder,Builder
java-game-server,ExecutionHandlerSingleton,Singleton
cdk,ComponentAdapter,Adapter
java-design-patterns-master,Prototype,Prototype
jbehave-core,ParameterDelimitersSteps,
Android_1,IClientSocketFactory,FactoryMethod
jbehave-core,EmbedderMonitorDecorator,Decorator
platform,ServiceStatisticsAxis2ConfigurationContextObserver,Observer
smsc-server,DbUserManagerFactory,FactoryMethod
biomixer,UpdateResourceSetAvatarLabelFactory,FactoryMethod
platform,PaypalNVPProxy,Proxy
cdk,AdapterBase,Adapter
pellet,GenericTaxonomyBuilder,Builder
protogrid,GridPrototype,Prototype
playorm,FactorySingleton,Singleton
intellij-community,CodeFormatterFacade,Facade
jbehave-core,ScalaStepsFactory,AbstractFactory
platform,EventAxis2ConfigurationContextObserver,Observer
milton,ResourceFactoryFactory,AbstractFactory
cdt,CfgProxyCache,Proxy
intellij-community,JavaPsiFacade,Facade
AllBinary-Platform,PrimitiveLongSingleton,Singleton
wayback,ARCUnwrappingProxy,Proxy
3taps-Java-Client,GeocoderRequest,
DimSim,PopoutWindowProxy,Proxy
jbehave-core,GuiceStepsFactory,AbstractFactory
dozer,BeanMappingBuilder,Builder
3taps-Java-Client,SearchRequest,
jboss-aejb,SingletonAEjbHandler,Singleton
cdk,ElementAdapterBase,Adapter
molgenis_apps,LibraryLaneDecorator,Decorator
Cours-3eme-ann-e,VolFacadeREST,Facade
LimeWire-Pirate-Edition,LibTorrentBTDownloadMementoImpl,Memento
harmony-classlib,EventListenerProxy,Proxy
cdk,RendererAdapter,Adapter
cdo,H2Adapter,Adapter
cruisecontrol,RakeBuilder,Builder
kahlua2,Prototype,Prototype
james,RestrictingRMISocketFactory,AbstractFactory
Generic-Graph-View,GraphViewStyleFactoryImpl,AbstractFactory
jbehave-core,SpringStoryReporterBuilderBehaviour,Builder
pellet,ELTaxonomyBuilder,Builder
osate2-core,ComponentPrototype,Prototype
cdt,CWorkbenchAdapter,Adapter
pellet,NumericComparisonVisitor,Visitor
fafdtibb,FastNodeBuilderFactory,AbstractFactory
cxf,StaxBuilder,Builder
ChenSun,ReflectiveStatementInterceptorAdapter,Adapter
prevayler,Memento,Memento
DownloadProvider,SystemFacade,Facade
cdk,FacetAdapter,Adapter
biojava-legacy,BioSQLRichObjectBuilder,Builder
liferay-portal,LayoutPrototypeLocalServiceWrapper,
cdk,ValidatorAdapter,Adapter
JavaDesignPatternExercises,ISubject,Observer
console_1,GinjectorSingleton,Singleton
jbehave-core,CompositeStepsFactory,AbstractFactory
LimeWire-Pirate-Edition,DownloadMemento,Memento
OneSwarm,ResourcePrototype,Prototype
basiclti-portlet,BasicLTIAdapterFactory,AbstractFactory
pcgen-svn,PartyFacadeImpl,Facade
openejb,SingletonEjbHomeHandler,Singleton
cxf,RM11AssertionBuilder,Builder
ocl,ExpressionsFactoryImpl,AbstractFactory
harmony-classlib,Proxy,Proxy
Emma,IItemVisitor,Visitor
osate2-core,PrototypeBindingImpl,Prototype
java-patterns,OracleRegistrationDAOFactory,FactoryMethod
cdt,PDOMASTAdapter,Adapter
pcgen-svn,SizeFacade,Facade
osate2-core,SubprogramGroupPrototypeImpl,Prototype
maven-3,LifecycleWeaveBuilder,Builder
biomixer,JsDomSvgElementFactory,FactoryMethod
smsc-server,UserManagerFactory,FactoryMethod
cxf,ServiceWSDLBuilder,Builder
openejb,SingletonContainer,Singleton
Dual-Battery-Widget,BatteryLevelAdapter,Adapter
birt,MementoElement,Memento
cxf,OperationVisitor,Visitor
activemq,LocalBrokerFacade,Facade
liferay-portal,LayoutPrototypeImpl,Prototype
small-team-km-android-client,ImageCacheSoftRefSingleton,Singleton
openejb,SingletonEjbObjectHandler,Singleton
eclipse.jdt.ui,Mementos,Memento
agetac-ng,AddEntityMemento,Memento
frostwire-desktop,ProxyDefintion,Proxy
osate2-core,FeaturePrototypeActualImpl,Prototype
sslr,EmptyRepetitionVisitor,Visitor
frostwire-desktop,FrmProxy,Proxy
pcgen-svn,PartyFacade,Facade
cdt,IncludeReferenceProxy,Proxy
maven-3,DefaultArtifactFactory,FactoryMethod
dawn-third,AxisMemento,Memento
biomixer,Memento,Memento
ChenSun,SocialNetworkNavigation,
mitfahrzentraleClient,ObjectFactory,FactoryMethod
see,IntegerFactory,AbstractFactory
ChenSun,CommunicationsException,
cdo,CDOFeatureDeltaVisitorImpl,Visitor
infinitest,WorkspaceFacade,Facade
AllBinary-Platform,TestingInputSingleton,Singleton
JavaDesignPatternExercises,IMemento,Memento
zen-project,SingletonSolrAware,Singleton
molgenis_apps,MeasurementDecorator,Decorator
jackrabbit,SingletonRepositoryFactory,Singleton
frostwire-desktop,DnDCellRendererProxy,Proxy
eclipse.platform.debug,ControlsMementoProvider,Memento
pcgen-svn,PersistenceObserver,Observer
Promasi-V2,ProjectMemento,Memento
jbehave-core,GameObserver,Observer
cdt,AutoconfPrototype,Prototype
refactoring_guru,Visitor,Visitor
playorm,NoSqlProxy,Proxy
Android-RTMP,FFMPEGPrototype,Prototype
intellij-community,FacetEditorFacade,Facade
pellet,ATermBaseVisitor,Visitor
platform,DiscoveryAxis2ConfigurationContextObserver,Observer
OneSwarm,ImageResourcePrototype,Prototype
eclipse.platform.debug,StackFrameMementoProvider,Memento
platform,RSSManagerAxis2ConfigContextObserver,Observer
ChenSun,ConnectionImpl,
nuxeo-tycho-osgi,Memento,Memento
molgenis_apps,FlowcellDecorator,Decorator
Promasi-V2,MarketPlaceMemento,Memento
coala,PdqMessageBuilderImpl,Builder
cdt,MITTYAdapter,Adapter
milton,ImageTableObserver,Observer
cdt,ASTGenericVisitor,Visitor
AllBinary-Platform,ConsolidatedMotionRectanglesResultsCacheSingleton,Singleton
AllBinary-Platform,BufferedImagePoolSingleton,Singleton
flume_1,DelayDecorator,Decorator
harmony-classlib,Observable,Observer
fop,LoggingElementListObserver,Observer
xdi2,Prototype,Prototype
cayenne,TextPaneViewFactory,FactoryMethod
cfeclipse,ImageDecorator,Decorator
activemq,RemoteJMXBrokerFacade,Facade
jamendo-android,DownloadJobBuilder,Builder
eclipse.jdt.core,MementoTokenizer,
hivedb,SingletonHiveSessionFactoryBuilder,Singleton
cdk,TagHandlerGeneratorVisitor,Visitor
platform,CassandraAxis2ConfigurationContextObserver,Observer
de-webapp,FileEditorServiceFacade,Facade
basiclti-portlet,PeoplesoftAdapter,Adapter
dozer,TypeMappingBuilder,Builder
jbehave-core,StepdocReporter,
cdt,ExternalEditorInputFactory,FactoryMethod
cruisecontrol,ExecBuilder,Builder
maven-3,DefaultProjectBuilder,Builder
kodejava,Singleton,Singleton
cruisecontrol,ServerNameSingleton,Singleton
mongkie,DecoratorLabelRenderer,Decorator
platform,Axis2ConfigurationContextObserverImpl,Observer
Generic-Graph-View,InstancemodelFactoryImpl,AbstractFactory
sablecc,MMacroCreatorPrototype,Prototype
java-patterns,MySQLRegistrationDAOFactory,AbstractFactory
dozer,CacheKeyFactory,FactoryMethod
jbehave-core,TraderConverter,
osate2-core,AbstractPrototypeImpl,Prototype
fuzzydb,IDecorator,Decorator
biojava-legacy,SequenceBuilder,Builder
A7B36ASS,StudentFactory,AbstractFactory
cdk,EmptyAnnotationValueVisitor,Visitor
osate2-core,ProcessPrototypeImpl,Prototype
cdk,SimpleVisitor,Visitor
cxf,ParamDclVisitor,Visitor
cxf,JAXWSDefinitionBuilder,Builder
DimSim,DebugProxyHandler,Proxy
frostwire-desktop,ProxyData,Proxy
cdt,BinaryObjectAdapter,Adapter
ocl,QuantitystructureFactoryImpl,AbstractFactory
cdk,TaglibGeneratorVisitor,Visitor
BuildCraft,SiliconProxy,Proxy
freemind,ConditionNotSatisfiedDecorator,Decorator
ChenSun,AssertionFailedException,
birt,Memento,Memento
flume_1,FormatterDecorator,Decorator
flume_1,InsistentAppendDecorator,Decorator
platform,Axis2ConfigurationContextObserverImpl,Observer
platform,CSGAgentObserverImpl,Observer
BuildCraft,CoreProxy,Proxy
3taps-Java-Client,GeocoderResponse,
teiid-designer,SearchRuntimeAdapter,Adapter
frostwire-desktop,MRJEventProxy,Proxy
activemq,BrokerFacade,Facade
ChenSun,Blob,
rap,XMLMemento,Memento
sshj,SingletonRandomFactory,Singleton
javassist,ScopedClassPoolFactoryImpl,FactoryMethod
chute-android-components,HeartsSingleton,Singleton
petals-studio,Cdk5FactoryImpl,AbstractFactory
tomcat70,EjbFactory,FactoryMethod
basiclti-portlet,StandardAdapter,Adapter
s4,PrototypeRequest,Prototype
osate2-core,DevicePrototypeImpl,Prototype
cdt,ReferenceVisitor,Visitor
com.happyprog.tdgotchi,TamagotchiObserver,Observer
java-design-patterns,SergeantVisitor,Visitor
ant,TypeAdapter,Adapter
A7B36ASS,TeacherFactory,AbstractFactory
platform,SalesforceProxyImpl,Proxy
flume_1,MultiplierDecorator,Decorator
cdo,CDOElementProxy,Proxy
jbehave-core,FixedThreadExecutors,
jogetworkflow,WorkflowFacade,Facade
mongkie,DecoratorLayout,Decorator
OpenSIG,ComercialProxy,Proxy
cdt,SignalsViewModelProxy,Proxy
hbase,CompatibilitySingletonFactory,AbstractFactory
HMS,AppointmentMemento,Memento
cdo,CDOFeatureDeltaVisitor,Visitor
cfeclipse,URLDecoratorDescriptor,Decorator
flume_1,InMemoryDecorator,Decorator
rap,ConfigurationElementMemento,Memento
platform,BAMMediationStatisticsObserver,Observer
ccw,ClojureVisitor,Visitor
Promasi-V2,CalculatedEquationMemento,Memento
harmony-classlib,DataProxy,Proxy
soapui,RestServiceFactory,FactoryMethod
jbehave-core,AnnotatedEmbedderUsingPicoAndSteps,
osate2-core,FeaturePrototypeImpl,Prototype
cdk,ConverterAdapter,Adapter
BMach,IObserver,Observer
pcgen-svn,TermEvaluatorBuilderPCVar,Builder
pcgen-svn,TreeTableModelAdapter,Adapter
ant,ResourceDecorator,Decorator
molgenis_apps,MolgenisFileDecorator,Decorator
jbehave-core,ExecutorServiceFactory,FactoryMethod
platform,ProxyServiceParameterObserver,Observer
java-design-patterns,DwarvenGoldmineFacade,Facade
wayback,MementoReplayRendererDecorator,Decorator
eclipse.platform.ui,XMLMemento,Memento
vogella,ElementObserver,Observer
ccw,ClojureCore,
ocl,AbapmappingFactory,AbstractFactory
cdk,ClassAdapter,Adapter
eclipse.platform.debug,IElementMementoProvider,Memento
ecf,IIDFactory,FactoryMethod
DownloadProvider,RealSystemFacade,Facade
cfeclipse,ConfigFileDecorator,Decorator
Client,AddEntityMemento,Memento
jackrabbit,AccessControlObserver,Observer
mongkie,TableDecoratorItem,Decorator
osate2-core,PrototypeBinding,Prototype
dawn-ui,XYRegionMemento,Memento
pellet,NumericComparisonVisitor,Visitor
platform,MediationStatsAxis2ConfigurationContextObserver,Observer
CS230-Software-Project,Observer,Observer
java-design-patterns-master,ElfKingdomFactory,AbstractFactory
ASEME,SRMFactoryImpl,AbstractFactory
cdo,CDOLegacyAdapter,Adapter
soapui,ResponseEditorViewFactory,FactoryMethod
pcgen-svn,SimpleFacadeImpl,Facade
intellij-community,CodeStyleFacade,Facade
cdk,ELVisitor,Visitor
TapIt-Android-SDK-Source,TapitandroidModulePrototype,Prototype
activemq,SingletonBrokerFacade,Singleton
betterFORM,FluxFacade,Facade
cdo,CDOElementProxyImpl,Proxy
ASEME,IACFactory,AbstractFactory
flume_1,MaskDecorator,Decorator
ASEME,IACFactoryImpl,AbstractFactory
SamyGo-Android-Remote,BSeriesKeyCodeSenderFactory,FactoryMethod
platform,StatisticsAxis2ConfigurationContextObserver,Observer
